DOI,SBET/Specific surface area/m2g-1,Average pore size/nm,Total pore volume/cm3g-1,ID,IG,ID/IG,2¦È/¡ã,d002/nm,La/nm,Lc/nm,La/Lc,first discharge/mAh g-1,first charge/mAh g-1,ICE/%,Retention rate of 100 capacity cycles/%, capacity/mAh/g,Rsei/¦¸,Re/,Rf/,Rs/¦¸,Rct /¦¸,i0/mAcm-2,DLi+/cm2s-1
,19.35896278,9.448931008,-0.015726648,661.0483278,1374.905822,0.99,39.3496102,0.591166952,32.95433753,19.85814645,0.530710954,595.2828788,475.8364879,76.62610609,72.72188958,317,9.4,1.090138016,18.1,1.59E-09,76.58985674,0.818469909,1.04E-06
,20.60790741,14.10032815,0.33075016,111,35,5.16,-5.977411867,4.320622648,83.65627398,26.7780057,3.700329391,848.2282496,944.7289531,73.12504033,53.64043433,841.5773541,9.453784867,25.57428571,44.58333333,8.643281231,185.343623,0.818469909,1.04E-06
https://doi.org/10.1002/ente.201801091,41.92428279,14.95856345,0.032093936,661.0483278,1374.905822,0.890271315,-5.977411867,3.354,121.0755275,26.7780057,3.700329391,953.2688695,1138.941161,72.91975618,53.5222962,942.8964221,9.453784867,25.57428571,44.58333333,9.555358367,196.2967226,0.818469909,1.04E-06
,40.27174573,14.95856345,0.060489173,661.0483278,1374.905822,0.890552861,-5.977411867,3.361,121.0755275,26.7780057,3.700329391,848.2282496,1138.941161,72.73803423,37.91217631,963.9702461,9.453784867,25.57428571,44.58333333,9.555358367,196.2967226,0.818469909,1.04E-06
,36.0397549,18.15064931,0.183423564,661.0483278,1374.905822,0.890143873,-5.977411867,9.372,121.0755275,26.7780057,3.700329391,1030.069057,986.4603954,72.54277582,46.59573744,1171.122935,9.453784867,25.57428571,44.58333333,10.1051936,194.7412223,0.818469909,1.04E-06
,35.45139977,18.15064931,0.249817642,661.0483278,1374.905822,0.889590316,-5.977411867,9.124,121.0755275,26.7780057,3.700329391,1030.069057,986.4603954,72.22109536,46.59573744,1171.122935,9.453784867,25.57428571,44.58333333,10.1051936,194.7412223,0.818469909,1.04E-06
https://doi.org/10.1039/d2ma00820c,3.686,3.068,0.018,661.0483278,1374.905822,0.892348515,19.1404281,1.567686709,-10.79725997,5.919143716,0.797986193,412.809,472.067,87.447,97.9,461.4608278,21.86834325,25.57428571,44.58333333,2.92266936,238.8413141,0.818469909,1.04E-06
,0.24753134,11.89308401,0.800956567,661.0483278,1374.905822,0.73,-4.175440287,0.509625021,75.47021492,20.92790923,0.825239657,283,125.3159223,78.2,75.10883271,121.0820487,3.657439252,6.078195979,-43.4985982,3.89E-07,33.55772971,0.818469909,1.79E-05
,-0.588211897,11.89308401,0.743550937,661.0483278,1374.905822,0.65,-4.175440287,-0.069325316,91.22659085,26.23458111,0.825239657,299.4,127.8806359,79.8,74.7632744,71.35789825,3.657439252,6.390741503,119.0477005,1.25E-07,9.376589054,0.818469909,1.87E-05
,0.033752746,11.89308401,0.73752233,661.0483278,1374.905822,0.59,-2.250446975,-0.130673103,91.22659085,26.23458111,0.825239657,311.1,124.5699078,81.2,74.7632744,71.35789825,7.190871786,2.953139699,112.3337137,1.48E-07,13.6,0.818469909,1.04E-06
,2.069316587,11.73707252,0.577798223,661.0483278,1374.905822,0.43,-2.250446975,0.243504942,105.5780869,26.81549151,1.08956047,327.2,112.0687065,81.6,74.7632744,71.35789825,7.190871786,0.815746718,110.6898683,1.61E-07,13,0.818469909,1.04E-06
,0.5,18.54,0.0023,661.0483278,1374.905822,0.903603355,19.1404281,2.399224171,-10.54032309,1.619479317,1.007161301,342.306,392.159,87.287,54.14,498.0921439,13.72665814,25.57428571,44.58333333,0.239569219,79.76066195,0.818469909,1.04E-06
https://doi.org/10.1016/j.ssi.2024.116558,25.93295583,12.48372726,0.083017724,661.0483278,1374.905822,0.915014513,77.99488235,1.25349463,79.08281596,26.34493251,2.616472161,765.3153392,1146.582827,69.01665185,80.95929866,555.6370458,50.28,25.57428571,44.58333333,2.48,49.99,0.818469909,6.28E-11
,25.93295583,13.07461574,0.063649305,661.0483278,1374.905822,0.926848048,43.27545169,1.333029886,79.08281596,26.34493251,2.616472161,861.0713351,1237.681243,65.01612236,80.85223028,561.141671,46.7,25.57428571,44.58333333,2.48,22.41,0.818469909,1.10E-10
